soil_C,soil_M,soil_S,pile_mat_comp,pile_mat_conc,pile_mat_steel,avg_N,open_ended,cross_area,circ,length,davisson
0,1,0,0,1,0,14,0,324.000248,71.96850394,25.0,427.0
0,1,0,0,1,0,14,0,324.000248,71.96850394,40.0,239.0
0,1,0,0,1,0,14,0,324.000248,71.96850394,38.0,261.0
0,1,0,0,1,0,18,0,324.000248,71.96850394,25.0,427.0
0,1,0,0,1,0,18,0,324.000248,71.96850394,40.0,239.0
0,1,0,0,1,0,18,0,324.000248,71.96850394,38.0,261.0
0,1,0,0,0,1,22,0,45.87,75.39822369,140.0,1514.0
0,1,0,0,1,0,22,0,400.0,80.0,101.5,988.0
0,1,0,1,0,0,45,0,14.6010292,40.07385905,140.42,660.0
0,1,0,1,0,0,45,0,12.2000744,40.07385905,161.0,656.0
0,1,0,1,0,0,45,0,12.2000744,40.07385905,161.25,470.0
0,1,0,1,0,0,45,0,15.54648541,30.23782929,166.17,560.0
0,1,0,1,0,0,45,0,15.54648541,30.23782929,154.58,341.0
0,1,0,1,0,0,45,0,15.54648541,30.23782929,155.42,329.0
0,1,0,1,0,0,45,0,15.54648541,30.23782929,145.0,321.0
0,1,0,1,0,0,45,0,15.54648541,30.23782929,165.92,299.0
0,1,0,1,0,0,37,0,14.6010292,40.07385905,140.42,660.0
0,1,0,0,0,1,46,1,57.67767762,94.24777961,173.2,1573.0
1,0,0,0,0,1,120,1,11698.505640000001,1583.362697,86.3,1170.0
1,0,0,0,0,1,85,1,57.67767762,94.24777961,140.33,891.0
1,0,0,0,0,1,85,1,57.67767762,94.24777961,140.25,827.0
0,0,1,0,1,0,38,0,2261.946711,169.64600330000002,46.0,2090.0
0,0,1,0,1,0,28,0,2261.946711,169.64600330000002,46.7,2750.0
